"고정형CCTV지번주소","위도","경도","자치구","단속지점명","현장구분"
"청담동 53-8","37.52462","127.05389","강남구","[청담-122] 영동대교남단R 주변","불법주정차구역"
"청담동 125-17","37.52542","127.05123","강남구","[청담-125] 한국마사회강남지사 주변","불법주정차구역"
"청담동 4","37.52291","127.04319","강남구","[청담-126] 더청담 주변","불법주정차구역"
"역삼동 689-7","37.50598","127.04138","강남구","[역삼1-111] 태승빌딩 주변","불법주정차구역"
"언주로 534","37.49857","127.03036","강남구","[역삼1-115] 역삼세무서 주변","불법주정차구역"
"역삼동 820-9","37.49902","127.02737","강남구","[역삼1-120] 강남역11번출구 주변","불법주정차구역"
"역삼동 716","37.50284","127.04964","강남구","[역삼2-108] 센트레빌아파트 주변","불법주정차구역"
"신사동 598-3","37.52315","127.02847","강남구","[압구정-115] 원방프라자 주변","불법주정차구역"
"수서동 707-4","37.48856","127.10053","강남구","[수서-103] 세종교고버스정류장","불법주정차구역"
"신사동 579","37.52608","127.02657","강남구","[신사-106] 카로시티2빌딩 주변","불법주정차구역"
"신사동 550-11","37.52268","127.02341","강남구","[신사-107] 신구초교공영주차장 주변","불법주정차구역"
"신사동 614","37.52751","127.02935","강남구","[압구정-110] 대언빌딩 주변","불법주정차구역"
"신사동 617-5","37.52843","127.03348","강남구","[압구정-111] 호산병원 주변","불법주정차구역"
"논현동 241-3","37.51699","127.04104","강남구","[논현2-107] 강남구청역2번출구 주변","불법주정차구역"
"논현동 275","37.51049","127.037","강남구","[논현2-113] 논현동부센트레빌 주변","불법주정차구역"
"대치동 1023","37.49731","127.05657","강남구","[대치1-106] 대치동함흥면옥 주변","불법주정차구역"
"대치동 947-3","37.50732","127.06361","강남구","[대치2-105] 삼탄빌딩 주변","불법주정차구역"
"삼성동 159-1","37.51077","127.06177","강남구","[삼성1-108] 트레이드타워 주변","불법주정차구역"
"삼성동 58-2","37.51982","127.05674","강남구","[삼성1-122] 청담역2번출구 주변","불법주정차구역"
"삼성동 52-1","37.51742","127.0508","강남구","[삼성2-102] 상아아파트담장 주변","불법주정차구역"
"논현동 128-9","37.5136","127.0299","강남구","[논현1-102] 학동역5번출구 주변","불법주정차구역"
"논현동 208-5","37.51425","127.0322","강남구","[논현2-102] 학동역2번출구 주변","불법주정차구역"
"삼성동 159","37.51237","127.0571","강남구","[삼성1-101] 인터컨티넨탈서울 주변","불법주정차구역"
"삼성동 159","37.51155","127.05754","강남구","[삼성1-102] 세븐럭카지노 주변","불법주정차구역"
"삼성동 159","37.51088","127.05791","강남구","[삼성1-103] 오크우드프리미어 주변","불법주정차구역"
"삼성동 52-1","37.5186","127.05014","강남구","[삼성2-101] 청담역7번출구 주변","불법주정차구역"
